Artista;Brano;Autori
Anna Oxa;Sali (Canto dell'anima);Kaballà, A. Oxa, F. Bianconi e F. Zanotti
Ariete;Mare di guai;Ariete, Calcutta, Dardust e V. Centrella
Articolo 31;Un bel viaggio;D. Silvestri, W. Perrini, V. Perrini, A. Colangelo, F. Abbate, J-Ax e Grido
Colapesce Dimartino;Splash;Colapesce e DiMartino
Colla Zio;Non mi va;T. Manzoni, A. Malatesta, F. U. Lamperti, T. Bernasconi, A. Arminio e G. Pesenti
Coma_Cose;L'addio;F. Zanardelli, F. Mesiano, C. Frigerio e F. Dalè
Elodie;Due;F. Abbate, J. Ettorre, F. Catitti e Elodie
Gianluca Grignani;Quando ti manca il fiato;E. Melozzi e G. Grignani
Gianmaria;Mostro;G. Manilardi, A. Filippelli, V. Centrella, V. Petrozzino e G. Volpato
Giorgia;Parole dette male;F. Roccati, Bianco, Big Fish e M. M. G. Fracchiolla
I Cugini di Campagna;Lettera 22;V. Lucchesi, D. Mangiaracina e F. Gargiulo
Lazza;Cenere;D. Petrella, Lazza e Dardust
LDA;Se poi domani;L. D'Alessio e A. Caiazza
Leo Gassmann;Terzo cuore;L. Gassmann, R. Zanotti, G. Pesenti e M. Paganelli
Levante;Vivo;Levante
Madame;Il bene nel male;Bais, Brail e Madame
Mara Sattei;Duemilaminuti;D. David, D. Mattei, E. Brun
Marco Mengoni;Due vite;D. Petrella, M. Mengoni e D. Simonetta
Modà;Lasciami;F. Silvestre e E. Palmosi
Mr. Rain;Supereroi;Mr. Rain, F. Abbate e L. Vizzini Bisaccia
Olly;Polvere;Olly, E. Lovito e J. Boverod
Paola e Chiara;Furore;P. Iezzi, C. Iezzi, F. Mercuri, G. Cremona, L. Grillotti, E. Maimone, J. Ettorre e A. La Cava
Rosa Chemical;Made in Italy;Rosa Chemical, P. Antonacci, D. Simonetta e O. Inglese
Sethu;Cause perse;Jiz e Sethu
Shari;Egoista;L. Fenudi, S. Noioso, Salmo e R. Puddu
Tananai;Tango;P. Antonacci, D. Simonetta, Tananai e A. Raina
Ultimo;Alba;Ultimo
Will;Stupido;S. Cremonini, A. Pugliese e Will